prefix;country
nan;Spratly Islands
1A;Sovereign Military Order of Malta
3A;Monaco
3B6;Agaléga and Saint Brandon
3B7;Agaléga and Saint Brandon
3B8;Mauritius
3B9;Rodrigues Island
3C;Equatorial Guinea
3C0;Annobón
3D2;Fiji
3D2;Rotuma Island
3D2;Conway Reef
3DA;Eswatini
3V;Tunisia
3W;Viet Nam
XV;Viet Nam
3X;Guinea
3Y;Bouvet Island
3Y;Peter I Island
4J;Azerbaijan
4K;Azerbaijan
4L;Georgia
4O;Montenegro
4S;Sri Lanka
4U;International Telecommunication Union Headquarters
4U;United Nations Headquarters
4W;Timor-Leste
4X;Israel
4Z;Israel
5A;Libya
5B;Cyprus
C4;Cyprus
P3;Cyprus
5H;Tanzania
5I;Tanzania
5N;Nigeria
5R;Madagascar
5T;Mauritania
5U;Niger
5V;Togo
5W;Samoa
5X;Uganda
5Y;Kenya
5Z;Kenya
6V;Senegal
6W;Senegal
6Y;Jamaica
7O;Yemen
7P;Lesotho
7Q;Malawi
7T;Algeria
7U;Algeria
7V;Algeria
7W;Algeria
7X;Algeria
7Y;Algeria
8P;Barbados
8Q;Maldives
8R;Guyana
9A;Croatia
9G;Ghana
9H;Malta
9I;Zambia
9J;Zambia
9K;Kuwait
9L;Sierra Leone
9M2;West Malaysia
9M4;West Malaysia
9M6;East Malaysia
9M8;East Malaysia
9N;Nepal
9Q;Democratic Republic of the Congo
9R;Democratic Republic of the Congo
9S;Democratic Republic of the Congo
9T;Democratic Republic of the Congo
9U;Burundi
9V;Singapore
9X;Rwanda
9Y;Trinidad and Tobago
9Z;Trinidad and Tobago
A2;Botswana
A3;Tonga
A4;Oman
A5;Bhutan
A6;United Arab Emirates
A7;Qatar
A9;Bahrain
AP;Pakistan
B;China
BS7;Scarborough Shoal
BU;Taiwan
BV;Taiwan
BW;Taiwan
BX;Taiwan
BV9P;Pratas Island
C2;Nauru
C3;Andorra
C5;The Gambia
C6;Bahamas
C8;Mozambique
C9;Mozambique
CA;Chile
CB;Chile
CC;Chile
CD;Chile
CE;Chile
CE0;Easter Island
CE0;Juan Fernández Islands
CE0;Desventuradas Islands
CE9;Antarctica
KC4;Antarctica
CM;Cuba
CO;Cuba
CN;Morocco
CP;Bolivia
CT;Portugal
CT3;Madeira
CU;Azores
CV;Uruguay
CW;Uruguay
CX;Uruguay
CY0;Sable Island
CY9;St. Paul Island
D2;Angola
D3;Angola
D4;Cape Verde
D6;Comoros
DA;Germany
DB;Germany
